STT;Tên sản phẩm;Thương hiệu;Loại danh mục;Số lượng;Hình ảnh;Tình trạng;Mô tả;Thông số kỹ thuật;Thông tin khác;Bảo hành;Phương thức thanh toán;Giá bán;Giá khuyến mãi;Điều kiện đổi trả;Giao hàng
1;Đồng Hồ Casio Nam MTP-1374L-1AVDF;Casio;Đồng hồ nam;45;https://cdn.tgdd.vn/Products/Images/7264/313967/casio-mtp-1374l-1avdf-nam-1-750x500.jpg;Hiển thị;"Đồng hồ nam Casio MTP-1374L-1AVDF được làm từ chất liệu cao cấp, dây da thật màu đen, mặt số dễ nhìn, tích hợp lịch ngày.";"- Size mặt đồng hồ: 45mm
- Chất liệu dây: dây da
- Khả năng chống nước: 10ATM
";"- Đối tượng sử dụng: Nam giới
- Mục đích: Đi làm, đi chơi
- Phong cách: Thể thao";12 tháng;COD và ví điện tử MOMO;14.780.000;NULL;"- Sản phẩm còn nguyên vẹn, chưa qua sử dụng. 
- Tem, mác, seal, nắp lưng, dây đồng hồ còn nguyên vẹn. 
- Đầy đủ phụ kiện: hộp, túi, thẻ bảo hành, sách hướng dẫn, hoá đơn. 
- Lỗi kỹ thuật từ nhà sản xuất (nếu đổi/trả do lỗi). 
- Thời gian đổi trả từ 3 - 7 ngày kể từ ngày nhận hàng";"- Sản phẩm có ship toàn quốc. 
-Thời gian nhận hàng từ 3 - 5 ngày (tùy khu vực). 
-Có hỗ trợ xem hàng trước khi thanh toán"
2;Đồng Hồ Nam Casio AE-1200WHD-1AVDF;Casio;Đồng hồ nam;42;https://cdn.tgdd.vn/Products/Images/7264/199485/casio-ae-1200whd-1avdf-bac-up-1-750x500.jpg;Hiển thị;"Đồng hồ nam Casio AE-1200WHD-1AVDF sở hữu mặt vuông thể thao, màn hình điện tử sắc nét và dây đeo kim loại bền bỉ. Thiết kế mạnh mẽ, phù hợp cho nam giới năng động.";"- Size mặt đồng hồ: 45mm
- Chất liệu dây: dây da
- Khả năng chống nước: 10ATM
";"- Đối tượng sử dụng: Nam giới
- Mục đích: Đi làm, đi chơi
- Phong cách: Thể thao";12 tháng;COD và ví điện tử MOMO;1.506.000;1.325.280;"- Sản phẩm còn nguyên vẹn, chưa qua sử dụng. 
- Tem, mác, seal, nắp lưng, dây đồng hồ còn nguyên vẹn. 
- Đầy đủ phụ kiện: hộp, túi, thẻ bảo hành, sách hướng dẫn, hoá đơn. 
- Lỗi kỹ thuật từ nhà sản xuất (nếu đổi/trả do lỗi). 
- Thời gian đổi trả từ 3 - 7 ngày kể từ ngày nhận hàng";"- Sản phẩm có ship toàn quốc. 
-Thời gian nhận hàng từ 3 - 5 ngày (tùy khu vực). 
-Có hỗ trợ xem hàng trước khi thanh toán"
3;Đồng Hồ Nam Casio MTP-VT01L-1BUDF;Casio;Đồng hồ nam;37;https://image.donghohaitrieu.com/wp-content/uploads/2023/09/80_MTP-VT01L-1BUDF.jpg;Hiển thị;"Đồng hồ nam Casio MTP-VT01L-1BUDF với phần dây da tone đen tạo hình vân cá sấu, kết hợp với các chi tiết vỏ máy mạ bạc và kiểu thiết kế mỏng độ dày chỉ 8mm. Với thiết kế đơn giản nhưng đầy phong cách, mẫu đồng hồ này trở thành một lựa chọn tuyệt vời cho những quý ông yêu thích phong cách thanh lịch.";"- Size mặt đồng hồ: 45mm
- Chất liệu dây: dây da
- Khả năng chống nước: 10ATM
";"- Đối tượng sử dụng: Nam giới
- Mục đích: Đi làm, đi chơi
- Phong cách: Thể thao";12 tháng;COD và ví điện tử MOMO;1.182.000;NULL;"- Sản phẩm còn nguyên vẹn, chưa qua sử dụng. 
- Tem, mác, seal, nắp lưng, dây đồng hồ còn nguyên vẹn. 
- Đầy đủ phụ kiện: hộp, túi, thẻ bảo hành, sách hướng dẫn, hoá đơn. 
- Lỗi kỹ thuật từ nhà sản xuất (nếu đổi/trả do lỗi). 
- Thời gian đổi trả từ 3 - 7 ngày kể từ ngày nhận hàng";"- Sản phẩm có ship toàn quốc. 
-Thời gian nhận hàng từ 3 - 5 ngày (tùy khu vực). 
-Có hỗ trợ xem hàng trước khi thanh toán"
4;Đồng Hồ Nam Seiko Presage Cocktail Grasshopper SSA441J1;Seiko;Đồng hồ nam;48;https://image.donghohaitrieu.com/wp-content/uploads/2023/09/SSA441J1.jpg;Hiển thị;"Seiko Presage Cocktail Grasshopper SSA441J1 là mẫu đồng hồ sang trọng đáng sở hữu bởi: Thiết kế Open Heart (Trải nghiệm chuyển động cơ học đẳng cấp) – Bộ máy in-house 4R38 ổn định, chính xác cao – Màu sắc xanh lá (Grasshopper Cocktail).";"- Size mặt đồng hồ: 45mm
- Chất liệu dây: dây da
- Khả năng chống nước: 10ATM
";"- Đối tượng sử dụng: Nam giới
- Mục đích: Đi làm, đi chơi
- Phong cách: Thể thao";12 tháng;COD và ví điện tử MOMO;2.343.400;NULL;"- Sản phẩm còn nguyên vẹn, chưa qua sử dụng. 
- Tem, mác, seal, nắp lưng, dây đồng hồ còn nguyên vẹn. 
- Đầy đủ phụ kiện: hộp, túi, thẻ bảo hành, sách hướng dẫn, hoá đơn. 
- Lỗi kỹ thuật từ nhà sản xuất (nếu đổi/trả do lỗi). 
- Thời gian đổi trả từ 3 - 7 ngày kể từ ngày nhận hàng";"- Sản phẩm có ship toàn quốc. 
-Thời gian nhận hàng từ 3 - 5 ngày (tùy khu vực). 
-Có hỗ trợ xem hàng trước khi thanh toán"
5;Đồng Hồ Nam Seiko 5 Sports SSK045K1;Seiko;Đồng hồ nam;40;https://image.donghohaitrieu.com/wp-content/uploads/2025/04/3-seiko-5-sports-ssk045k1.jpg;Hiển thị;"Seiko 5 Sports GMT SSK045K1 lấy cảm hứng từ những chiếc xe đua cổ điển. Đặc trưng bởi mặt số xanh dương sunburst, bộ máy automatic mạnh mẽ và độ chính xác cao. Phong cách thể thao sang trọng thời thượng mới.";"- Size mặt đồng hồ: 45mm
- Chất liệu dây: dây da
- Khả năng chống nước: 10ATM
";"- Đối tượng sử dụng: Nam giới
- Mục đích: Đi làm, đi chơi
- Phong cách: Thể thao";12 tháng;COD và ví điện tử MOMO;14.884.000;12.651.400;"- Sản phẩm còn nguyên vẹn, chưa qua sử dụng. 
- Tem, mác, seal, nắp lưng, dây đồng hồ còn nguyên vẹn. 
- Đầy đủ phụ kiện: hộp, túi, thẻ bảo hành, sách hướng dẫn, hoá đơn. 
- Lỗi kỹ thuật từ nhà sản xuất (nếu đổi/trả do lỗi). 
- Thời gian đổi trả từ 3 - 7 ngày kể từ ngày nhận hàng";"- Sản phẩm có ship toàn quốc. 
-Thời gian nhận hàng từ 3 - 5 ngày (tùy khu vực). 
-Có hỗ trợ xem hàng trước khi thanh toán"
6;Đồng Hồ Nam Seiko Presage Style 60's SSA425J1;Seiko;Đồng hồ nam;50;https://image.donghohaitrieu.com/wp-content/uploads/2023/09/SSA425J1.jpg;Hiển thị;"Seiko SSA425J1, đồng hồ cơ Nhật Bản sang trọng lấy cảm hứng từ phong cách cổ điển thập niên 60. Trang bị máy 4R39 độc quyền cho thời gian trữ cót 41 giờ.";"- Size mặt đồng hồ: 45mm
- Chất liệu dây: dây da
- Khả năng chống nước: 10ATM
";"- Đối tượng sử dụng: Nam giới
- Mục đích: Đi làm, đi chơi
- Phong cách: Thể thao";12 tháng;COD và ví điện tử MOMO;17.970.000;14.376.000;"- Sản phẩm còn nguyên vẹn, chưa qua sử dụng. 
- Tem, mác, seal, nắp lưng, dây đồng hồ còn nguyên vẹn. 
- Đầy đủ phụ kiện: hộp, túi, thẻ bảo hành, sách hướng dẫn, hoá đơn. 
- Lỗi kỹ thuật từ nhà sản xuất (nếu đổi/trả do lỗi). 
- Thời gian đổi trả từ 3 - 7 ngày kể từ ngày nhận hàng";"- Sản phẩm có ship toàn quốc. 
-Thời gian nhận hàng từ 3 - 5 ngày (tùy khu vực). 
-Có hỗ trợ xem hàng trước khi thanh toán"
7;Đồng Hồ Nam Seiko SNZG15K1;Seiko;Đồng hồ nam;9;https://xwatch.vn/images/products/2020/04/28/large/dong-ho-seiko-snzg15k1-1_1588064606.jpg;Hiển thị;"Mẫu Seiko SNZG15K1 là phiên bản thuộc dòng Seiko 5 với dây vải, kết hợp cùng phần vỏ máy cơ được thiết kế dày dặn và khả năng chống nước lên đến 10ATM. Kim chỉ và cọc vạch số được phủ dạ quang, giúp dễ dàng nhìn rõ trên mặt số của đồng hồ.";"- Size mặt đồng hồ: 45mm
- Chất liệu dây: dây da
- Khả năng chống nước: 10ATM
";"- Đối tượng sử dụng: Nam giới
- Mục đích: Đi làm, đi chơi
- Phong cách: Thể thao";12 tháng;COD và ví điện tử MOMO;6.640.000;4.648.000;"- Sản phẩm còn nguyên vẹn, chưa qua sử dụng. 
- Tem, mác, seal, nắp lưng, dây đồng hồ còn nguyên vẹn. 
- Đầy đủ phụ kiện: hộp, túi, thẻ bảo hành, sách hướng dẫn, hoá đơn. 
- Lỗi kỹ thuật từ nhà sản xuất (nếu đổi/trả do lỗi). 
- Thời gian đổi trả từ 3 - 7 ngày kể từ ngày nhận hàng";"- Sản phẩm có ship toàn quốc. 
-Thời gian nhận hàng từ 3 - 5 ngày (tùy khu vực). 
-Có hỗ trợ xem hàng trước khi thanh toán"
8;Đồng Hồ Nam Seiko SSB205P1;Seiko;Đồng hồ nam;30;https://xshipimage.s3-ap-southeast-1.amazonaws.com/Seiko/SSB205P1/SSB205P1.jpg;Hiển thị;"Đồng hồ Seiko SSB205P1 dành cho nam có kiểu dáng thể thao và vỏ máy bằng thép không gỉ màu bạc sang trọng. Nó đi kèm với 3 ô phụ và chức năng Chronograph, đồng hồ nam tính này còn có dây đeo kim loại mang đến phong cách mạnh mẽ và nam tính.";"- Size mặt đồng hồ: 45mm
- Chất liệu dây: dây da
- Khả năng chống nước: 10ATM
";"- Đối tượng sử dụng: Nam giới
- Mục đích: Đi làm, đi chơi
- Phong cách: Thể thao";12 tháng;COD và ví điện tử MOMO;5.510.000;NULL;"- Sản phẩm còn nguyên vẹn, chưa qua sử dụng. 
- Tem, mác, seal, nắp lưng, dây đồng hồ còn nguyên vẹn. 
- Đầy đủ phụ kiện: hộp, túi, thẻ bảo hành, sách hướng dẫn, hoá đơn. 
- Lỗi kỹ thuật từ nhà sản xuất (nếu đổi/trả do lỗi). 
- Thời gian đổi trả từ 3 - 7 ngày kể từ ngày nhận hàng";"- Sản phẩm có ship toàn quốc. 
-Thời gian nhận hàng từ 3 - 5 ngày (tùy khu vực). 
-Có hỗ trợ xem hàng trước khi thanh toán"
9;Đồng Hồ Nam Orient Bambino Sun & Moon RA-AK0806L30B;Orient ;Đồng hồ nam;32;https://image.donghohaitrieu.com/wp-content/uploads/2025/03/Orient-RA-AK0806L-3.jpg;Hiển thị;Đồng hồ nam Orient Bambino Sun And Moon RA-AK0806L30B ra mắt năm 2025 nằm trong BST 75th Anniversary Day/Night editions. Đĩa xoay mặt trời – mặt trăng độc đáo liên tưởng đến thiết kế nổi tiếng của hãng. Vẻ ngoài thanh lịch kết hợp bộ máy cơ uy tín của hãng.;"- Size mặt đồng hồ: 45mm
- Chất liệu dây: dây da
- Khả năng chống nước: 10ATM
";"- Đối tượng sử dụng: Nam giới
- Mục đích: Đi làm, đi chơi
- Phong cách: Thể thao";12 tháng;COD và ví điện tử MOMO;11.510.000;8.862.700;"- Sản phẩm còn nguyên vẹn, chưa qua sử dụng. 
- Tem, mác, seal, nắp lưng, dây đồng hồ còn nguyên vẹn. 
- Đầy đủ phụ kiện: hộp, túi, thẻ bảo hành, sách hướng dẫn, hoá đơn. 
- Lỗi kỹ thuật từ nhà sản xuất (nếu đổi/trả do lỗi). 
- Thời gian đổi trả từ 3 - 7 ngày kể từ ngày nhận hàng";"- Sản phẩm có ship toàn quốc. 
-Thời gian nhận hàng từ 3 - 5 ngày (tùy khu vực). 
-Có hỗ trợ xem hàng trước khi thanh toán"
10;Đồng Hồ Nam Orient Star Layered Skeleton RE-AV0B01S00B;Orient ;Đồng hồ nam;9;https://image.donghohaitrieu.com/wp-content/uploads/2024/10/Orient-Star-RE-AV0B01S00B.jpg;Hiển thị;"Lấy cảm hứng từ các lớp vải xếp chồng lên nhau trong may đo Veston hiện đại, Orient Star RE-AV0B01S00B hoàn thiện mặt số theo dạng xếp lớp 2 Layer Skeleton độc đáo, kim nung xanh cùng thang đo dự trữ năng lượng hữu ích cho người dùng.";"- Size mặt đồng hồ: 45mm
- Chất liệu dây: dây da
- Khả năng chống nước: 10ATM
";"- Đối tượng sử dụng: Nam giới
- Mục đích: Đi làm, đi chơi
- Phong cách: Thể thao";12 tháng;COD và ví điện tử MOMO;27.930.000;NULL;"- Sản phẩm còn nguyên vẹn, chưa qua sử dụng. 
- Tem, mác, seal, nắp lưng, dây đồng hồ còn nguyên vẹn. 
- Đầy đủ phụ kiện: hộp, túi, thẻ bảo hành, sách hướng dẫn, hoá đơn. 
- Lỗi kỹ thuật từ nhà sản xuất (nếu đổi/trả do lỗi). 
- Thời gian đổi trả từ 3 - 7 ngày kể từ ngày nhận hàng";"- Sản phẩm có ship toàn quốc. 
-Thời gian nhận hàng từ 3 - 5 ngày (tùy khu vực). 
-Có hỗ trợ xem hàng trước khi thanh toán"
11;Đồng Hồ Nam Orient RA-AR0003L10B;Orient ;Đồng hồ nam;23;https://cdn.tgdd.vn/Products/Images/7264/202689/orient-ra-ar0003l10b-nam-co-tu-dong-5-1-750x500.jpg;Hiển thị;"Chiếc đồng hồ nam Orient RA-AR003L10B mang thiết kế thanh lịch, mặt số màu xanh độc đáo cùng chất lượng bền bỉ, chắc chắn sẽ khiến phái mạnh không khỏi ao ước được sở hữu.";"- Size mặt đồng hồ: 45mm
- Chất liệu dây: dây da
- Khả năng chống nước: 10ATM
";"- Đối tượng sử dụng: Nam giới
- Mục đích: Đi làm, đi chơi
- Phong cách: Thể thao";12 tháng;COD và ví điện tử MOMO;10.400.000;NULL;"- Sản phẩm còn nguyên vẹn, chưa qua sử dụng. 
- Tem, mác, seal, nắp lưng, dây đồng hồ còn nguyên vẹn. 
- Đầy đủ phụ kiện: hộp, túi, thẻ bảo hành, sách hướng dẫn, hoá đơn. 
- Lỗi kỹ thuật từ nhà sản xuất (nếu đổi/trả do lỗi). 
- Thời gian đổi trả từ 3 - 7 ngày kể từ ngày nhận hàng";"- Sản phẩm có ship toàn quốc. 
-Thời gian nhận hàng từ 3 - 5 ngày (tùy khu vực). 
-Có hỗ trợ xem hàng trước khi thanh toán"
12;Đồng Hồ Nam Orient Vietnam Special Edition RA-AS0106L30B;Orient ;Đồng hồ nam;25;https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/7264/332552/orient-ra-as0106l30b-nam-1-638684901280757694-750x500.jpg;Hiển thị;"Đồng hồ Orient Vietnam Special Edition 41.5 mm Nam RA-AS0106L30B là một sản phẩm mang trong mình tinh thần tự hào dân tộc với thiết kế đậm chất cổ điển, sang trọng. Mẫu đồng hồ này được phát triển dựa trên dòng Classic Semi Skeleton - một trong những bộ sưu tập ăn khách nhất của Orient Star.";"- Size mặt đồng hồ: 45mm
- Chất liệu dây: dây da
- Khả năng chống nước: 10ATM
";"- Đối tượng sử dụng: Nam giới
- Mục đích: Đi làm, đi chơi
- Phong cách: Thể thao";12 tháng;COD và ví điện tử MOMO;16.000.000;12.640.000;"- Sản phẩm còn nguyên vẹn, chưa qua sử dụng. 
- Tem, mác, seal, nắp lưng, dây đồng hồ còn nguyên vẹn. 
- Đầy đủ phụ kiện: hộp, túi, thẻ bảo hành, sách hướng dẫn, hoá đơn. 
- Lỗi kỹ thuật từ nhà sản xuất (nếu đổi/trả do lỗi). 
- Thời gian đổi trả từ 3 - 7 ngày kể từ ngày nhận hàng";"- Sản phẩm có ship toàn quốc. 
-Thời gian nhận hàng từ 3 - 5 ngày (tùy khu vực). 
-Có hỗ trợ xem hàng trước khi thanh toán"
